dirty things (sex)	trucs salaces
thus	a ainsi
open air	a ciel ouvert
with regard to	a l&#x27;égard de
in my defense	a ma décharge
to the extent that	a tel point que
as you wish	a votre guise
to lower	abaisser
to slaughter	abattre
to damage	abîmer
to abolish	abolir
to address (a subject)	aborder
to result in	aboutir à
to abreviate	abréger
to shelter	abriter
fool	abruti
to exaggerate	abuser
to hog	accaparer
to accentuate	accentuer
incidentally	accessoirement
to access	accéder
to accomplish	accomplir
to grant	accorder
to hang/hook	accrocher
to increase	accroître
welcoming	accueillant
to welcome	accueillir
to route/forward	acheminer
to finish	achever
to acquire	acquérir
to pay off	acquitter
shareholder	actionnaire
suitable	adapté
adequate	adéquat
member	adhérent
membership	adhésion
to admit	admettre
to soften	adoucir
to befall	advenir
to weaken	affaiblir
to starve	affamer
to display	afficher
to flock	affluer
frightful	affreux
to face	affronter
in order to / so that	afin de / afin que
so that I can	afin que je puisse
to annoy	agacer
Annoyed	Agacé
annoying	agaçant
to worsen	aggraver
to enlarge	agrandir
to attack	agresser
agricultural	agricole
bravo	Ah bah bien
sour	aigre
embittered	aigri
bitter	aigris
elsewhere	ailleurs
kind	aimable
and so on	ainsi de suite
Thus	ainsi donc
as well as	ainsi que
easy	aisé
to adjourn	ajourner
brother	Akhi
alcoholic	alcoolisé
surroundings	alentours
random	aléatoire
to alleviate	alléger
to combine	allier
ally	allié
to lengthen	allonger
to allocate	allouer
to turn on	allumer
while	alors que
to weigh down	alourdir
to coax/butter up	amadouer
ambitious	ambitieux
bitter	amer
to arrange (furniture-wise)	aménager
friendly	amical
friendship	amitié
to initiate	amorcer
to anchor	ancrer
to wreck	anéantir
harmless	anodin
painkillers	antalgiques
to soothe	apaiser
to perceive	apercevoir
apparently	apparemment
to belong	appartenir
to bait	appâter
learners	apprenants
apprentice	apprenti
to apprehend/grasp	appréhender
to prepare	apprêter
to deepen	approfondir
appropriate	approprié
to press/support	appuyer
after stopping	après avoir fait escale
able to	apte à
very	archi
silverware	argenterie
cupboard/wardrobe	armoire
to tear	arracher
sick leave	arrêts maladie
aftertaste	arrière goût
to round	arrondir
district	arrondissement
to water	arroser
to sprinkle	asperger
vacuum cleaner	aspirateur/aspi
to vacuum	aspirer
to aspire to	aspirer à
to season	assaisonner
long enough	assez longtemps
to assimilate	assimiler
to attend a concert	assister à concert
to match	assortir
to appease	assouvir
to take responsibility/to rock it	assumer
to ensure	assurer
certainly	assurément
atrocious	atroce
to reach	atteindre
to land	atterrer
to land	atterrir
to lessen	atténuer
attractiveness	attirance
to catch	attraper
attractive	attrayant
on the edge of	au bord de
At the seaside	au bord de la mer
back to work!	au boulot!
at the end of	au bout de
at the end of the line	au bout du fil
chillin/the audacity!	au calme
in case you forgot	au cas tu l&#x27;avais oublié
