a antler	uma galhada
a small bar	uma birosca
a billboard	um outdoor
a medical certificate	um atestado medico
a tow truck	um guincho
a cup of coffee with milk	um pingado
a dam	uma barragem
a dent	um entalhe
a fox	uma raposa
a group of people that were your best	panteão
"a guy who doesn&#x27;t have jeito com mulher"	um cabaço
a handshake	um aperto de mão
a hanger	um cabide
a game changer	um divisor de águas
A mole	uma toupeira
a platter	uma travessa
a smart-ass	um sabichão
a splinter	uma lasca
a sticker	um adesivo
A tour (performance)	uma tournée
a trail	um rastro
a trick	uma artimanha / um macete
a vest	um colete
a while ago	há bocado
A whistle	um apito
a zipline	uma tirolesa
according to	conforme a
add	acrescentar
aka	vulgo
alleys	ruelas
although	se bem que
amateur	amador
an inn	uma pousada
another level	outro patamar
anteater	tamanduá
eager / daring	afoito
anyways	de qualquer modo
appeal	apelar
arguing or confusion	arrengação
around	em torno de
as long as you pay me	desde que / contanto que você me pague
at the end of the day	no final das contas
attach	anexar
Baby	benzinha
badge	crachá
baking tray	assadeira
bank note/ballot	cédula
beanie	touca
beet	beterraba
beggar	pedinte
belittle	menosprezar
bell	o sino
belly button ring	anel umbigo
best regards	os meus cumprimentos
beta bitch	Zé-ruela
biased	tendencioso
bib	babador
Blackheads	cravos
bleachers	arquibancada
blindfolded	vendado
bloody	sangrento
board game	jogo de tabuleiro
Boring	aborrecido
box cutter	estilete
brand new	zero bala (rio), novinho em folha (pt)
brats	pirralhos
brick	tijolo
bruise	nódoa negra
bugger off	vai catar coquinho
bundles (bags)	trouxinhas
burst into tears	desatar a chorar
butler	mordomo
by chance	por acaso
cage	gaiola
calves	panturrilhas
candy	bala/rebuçado
Caring	bondoso
casual sex	pente rala
catch phrases	bordões
cemetery	cemitério
chain	cordãozão
chains	correntes
changing rooms	vestiários
cheesy	brega
chill	descolado
chimney	chaminé
cigar	charuto
cilantro	coentro
claim	alegar
hair clips	presilhas
closure	encerramento
clothespin	prendedor/pregador
clumsy	desengonçado
complaint	queixa
to condemn	condenar
condemned	condenado
to cool	arrefecer
cork	rolha/cortiça
crease	vinco
creep	anormal
Crossroads	encruzilhada
crumbs	migalhas
crush	triturar
cum	gala
cup	chávena
curly	encaracolado
customer	freguesa
cut to the chase	corta a lorota/para de conversa fiada
cutting board	tábua de corte
darkness	escuridão
dates	tâmaras
daughter in law	nora
decipher	decifrar
Despise	desprezar
dew	orvalho
diaper	fralda
to digress / ramble	digressionar/divagar
dimples	covinhas
disguise	disfarçar
do not hold back	não se reprima
donkey	jumento
door handle	maçaneta
dread	pavor
drunk	embriagado
drunk	narso
dungeon	calabouço/masmorra
dusty	empoeirado
to dwell	habitar
earthworms	minhocas
to employ	empregar
entail	acarretar
enterprises	empreendimentos
escort	escolta
executioner	carrasco
eye drops	colírio
fabric	tecido
fences	cercas
ferry	balsa
filthy	imundo
first of all	antes de mais nada
fishnet stockings	meias arrastão
Flabby	pelancudo
flat	achatado
flattery	bajulação
flood	alagar
flustered	afobado
fool	mané
to meddle around	fuçar
foreplay	preliminares
fortune teller	vidente
frantic	desvairados
free	zero oitocentos
fuck up	patada
fuel	combustível
Funeral	Velório
gatinhas(70's)/hoe	as cocotas
Get lost	baza
Give way	ceder
go back	retroceder
go hard	faz com garra
to award	conceder
the guarantee	o aval
gummy	goma
hairspray	laquê
hall	saguão
handrail	corrimão
having friction	de ter atrito
he is a witness	ele é uma testemunha
helpful	prestativo
helpless	desamparado
hiding place	esconderijo
to fight back	revidar
hoax	embuste
hoe	Kenga
el hogar	o lar
hookah	narguilé
how far are we willing to go	o quão longe estamos dispostos a ir
However	no entanto
I cling to you	eu me agarro em você
I don't feel like it	não me apetece nada
I got caught in the act	fui pego no flagra
I made my move	Eu caí matando
"I&#x27;ll go regardelss"	vou do mesmo jeito
I'll stick the dick	Vou tacar o pinto
"I&#x27;m about to eat"	estou prestes a comer
"I&#x27;m exhausted"	estou estafado
"if it&#x27;s any consolation"	se te serve de consolo
If you really want to	Se tu tiver a fim mesmo
in advance	antecipadamente
Indelicacy	indelicadeza
ingrown toenail	unha encravada
intercourse	coito
Internet users	internautas
"It&#x27;s on the house"	cortesia da casa
"it&#x27;s upside down"	está de ponta cabeça
Jealous	enciumado
keyholder	porta chave
kin	parentela
kindergarten teacher	professor de maternal
kinship	parentesco
leggings	meias-calças
leisure	lazer
lift	erguer
light on	luz acesa
loan	empréstimo
Lock the car	feche a viatura
love handle	culote
lust	cobiçar
majestic	majestoso
masturbate (for women)	bater uma siririca
measurement	medição
Medicines	Medicamentos
membership	filiação
merchandise	mercadoria
middle ground	meio termo
misfortune	infortúnio
mop	esfregona
mouthwash	enxaguante bucal
to move away	arredar-se
my condolences	os meus pêsames
My dad will give me a wallop	Meu pai me dá uma coça
my features	minhas feições
my peak	meu auge
narrow	estreito
nymph	ninfetinha
odd	esdrúxulo
Old	coroa
on the edge	á beira
on the real	na responsa
online math tutoring	aulas de reforço de matematica online
opening/intro	abertura
ornament	enfeite
overdue/stail	vencido
pacifier	chupeta
packed lunch	marmita
Packets	pacotinhos/papelotes
padding	amortecedor
painful	penoso
paperclips	clips/alfinete de segurança
paperwork	papelada
paulo was messing around with my wife	O paulo foi se meter justamente com minha mulher
Pearls	pérolas
Performance	desempenho
Petty thief	maloqueiro
phone call	telefonema
pickaxe	picareta
piston	o êmbolo / o pistão
the plot	o enredo
plum	ameixa
plunger	desentupidor
Point out	assinalar
poor kids	os pivete
pressing	prementes
proceed	prosseguir
puppet	fantoche
raft	jangada
Railroad	Ferrovia
ranch dressing	molho rancho
rascals	patifes
remain	restar
the replay	o repeteco
the rescue	o resgate
resemble	assemelhar
Resourcefulness	desenvoltura
the rest	o repouso
retainers	contenção
retirement home	asilo
return address	endereço de devolução
rib	costela
rifle butt	coronhada
Rooms	assoalhadas
route	percurso
rumors	boatos
RV	motorhome/autocaravana
sample	amostra
sandy	arenoso
sappy	meloso
scarecrows	espantalhos
scoundrel	canalha
to scratch	arranhar
seagulls	gaivotas
several women	mulherada
to rattle	chacoalhar
Shitload of money	dinheiro a pamparra
shortage	carência
sigh	suspirar
skewer (culinary)	o espeto
skyscrapers	arranha-céus
sledgehammer	marreta
slimy	gosmento
slippery	escorregadio
slow	vagaroso
Slut	Filha de uma égua
snap your fingers	estalar os dedos
Some serious shit	um bagulho responsa
somone that hooked up with your girl	ser talarico
son in law	genro
span (length)	palmo
sparsely	escassamente
speed bump	lombada
spice	especiaria
spices	temperos
staff	cajado
stallion	garanhão
standards	critérios
stay in your lane	cada macaco no seu galho
steep	íngreme
sticky	grudento/pegajoso
stretch marks	estrias
Stringy	Barbantinho
stump (amputated)	cotoco
sucks	é a maior furada
suddenly	subitamente
super at ease	folgado
surroundings	arredores
swamp	brejo/pântano
synched	sintonia
tacky, old fashion, corny	cafona
tangerine	mexerica
tender	tenro
that thing	essa bodega
the aftertaste	o gosto posterior
the balcony	a sacada
the bench press	o supino
The bike	a magrela
The boys	a molecada
The car	o corcel
the cast	o elenco
the clue/nightclub	a pista
The drug transfer	a endolação
the due date	a data de vencimento
the dumbbell	o haltere
The escort	a escolta
the frame	a moldura
the gums	as gengivas
the handle	a alça
the income	a renda
the logo	o logotipo
the maid	a criada
the turf	o movimento
the palate	o paladar
the plague	a praga/peste
the press	a imprensa
The rag	o trapo
The right hand man	o braço direito
the shipping	o frete
the taste	o paladar
the toilet seat	a sanita
the tomb	o túmulo
The trait	O traço
the trunk of a car	porta-mala
The woods	o matagal
theme song	vinheta
they give in to his sexual prowess	eles cedem à sua proeza sexual
this beauty	essa belezura
to be fed up witht this	estar farto disso
To a lesser degree	Em menor grau
to aid	acudir
to line up	enfileirar
to amaze	pasmar
to appear to be	aparentar
to assault	agredir
to bake	assar
to bargain	pechinchar
to bark	latir
to be drunk	estar na mão do palhaço
to be embarrassed	ficar constrangido
to be experienced	ser experiente
to be hard to get	ser cu doce
to be single and ready to mingle	estar na pista
to blow your nose	assoar a nariz
to blunder	dar mancada
to brag about	se gabar de
to break	escangalhar
to brush up against	roçar
to bump into	esbarrar com
to bundle up	agasalhar
to burst	estourar
to carve	esculpir
to castrate	capar
to cheat (tests)	colar/trapacear
to choke	se engasgar
To collect	arrecadar
to comfort	consolar
to commit	empenhar
to compensate	ressarcir
to compose	compor
to cover	tampar
cramp	cãibra
to crave	almejar
to decimate	dizimar
to dim	ofuscar
to disappoint	desapontar
to dispatch	despachar
to mislead	despistar
to distract yourself	dar uma espairecida
to do nothing	estar de bobeira
to do the splits	fazer um espacate
to drip	pingar
to muffle	abafar
to eat (Angola)	pitar
to eat pussy	fazer minete
to embroider	bordar
to emphasize	ressaltar
to endure	perdurar
to entangle	emaranhar
to postpone / extension	prorrogar / prorrogação
to kiss a bunch of girls	passar o rodo
to fast	jejuar
to figure out	arquitetar
to flatter	bajular
to flirt	xavecar
to flush the toilet	puxar o autoclismo (EU)/a descarga (BR)
to forward a message	encaminhar uma mensagem
to frame	enquadrar / emoldurar
to frown	franzir
to get sick of	se enjoar de
to bypass	contornar
to go overboard	perder a linha
to grin	arreganhar
To gush	jorrar
to half ass	tapear
to handstand	plantar bananeira
to have tricks up your sleeves	ter cartas nas mangas
to help	dar uma moral
To hide	entocar
to hit on her	dar ideia nela
to hitchhike	pegar carona
To hump	encoxar
to hurry up	se despachar
to inquire	indagar
to inspect	fiscalizar
to intertwine	entrelaçar
To keep an eye on you	pra tomar conta de você
to consist of	constar de
to knit	tricotar
to label	rotular
to leave	meter o pé
to lengthen	alargar
