uma galhada,a antler
uma birosca,A bar
um outdoor,a billboard
uma falésia,A cliff
um atestado,a confirmation
um guincho,a crane
um pingado,a cup of coffee with milk
um punhal,a dagger
uma barragem,a dam
um entalhe,a dent
uma raposa,a fox
panteão,a group of people that were your best
um cabaço,a guy who doesn't have jeito com mulher
um aperto de mão,a handshake
um cabide,a hanger
um divisor de águas,a life changer
uma toupeira,A mole
uma tomada de plugue,a plug outlet
uma placa,a sign
uma travessa,a platter
um sabichão,a smart-ass
uma lasca,a splinter
uma mola,a spring
um adesivo,a sticker
um alfinete,a thumbtack
uma tournée,A tour
um rolo,a trade
um rastro,a trail
uma artimanha,a trick
um colete,a vest
há bocado,a while ago
um chicote,a whip
um apito,A whistle
uma tirolesa,a zipline
conforme a,according to
acrescentar,add
vulgo,aka
ruelas,alleys
se bem que,although
amador,amateur
um machado,an ax
uma pousada,an inn
outro patamar,another level
tamanduá,anteater
afoito,anxious
de qualquer modo,anyways
apelar,appeal
arrengação,arguing or confusion
em torno de,around
contanto que vc esteja aqui,as long as you are here
desde que você me pagasse,as long as you pay me
linha de montagem,Assembly line
no final das contas,at the end of the day
anexar,attach
vingar,Avenge
benzinha,Baby
crachá,badge
assadeira,baking tray
cédula,bank note/ballot
pilha,battery
touca,beanie
beterraba,beet
pedinte,beggar
menosprezar,belittle
sino,bell
anel umbigo,belly button ring
dança do ventre,belly dance
os meus cumprimentos,best regards
Zé-ruela,beta bitch
tendencioso,biased
babador,bib
barrigudo,Big-bellied
cravos,Blackheads
arrebentar,blast off
arquibancada,bleachers
vendados,blindfolded
sangrento,bloody
jogo de tabuleiro,board game
aborrecido,Boring
estilete,box cutter
"zero bala (rio), novinho em folha (pt)",brand new
pirralhos,brats
tijolo,brick
nódoa negra,bruise
vai catar coquinho,bugger off
trouxinhas,bundles
desatar a chorar,burst into tears
mordomo,butler
nádegas,butt cheeks
por acaso,by chance
repolho,cabbage
gaiola,cage
panturrilhas,calves
bala/rebuçado,candy
cantil,canteen
bondoso,Caring
pente rala,casual sex
bordões,catch phrases
cemitério,cemetery
cordãozão,chain
correntes,chains
vestiários,changing rooms
brega,cheesy
tórax,chest
fantil,Child
descolado,chill
chaminé,chimney
charuto,cigar
coentro,cilantro
alegar,claim
presilhas,clips
encerramento,closure
prendedor/pregador,clothespin
desengonçado,clumsy
queixa,complaint
condenar,condemn
condenado,condemned
arrefecer,cool
Bestial,Cool
rolha/cortiça,cork
vinco,crease
anormal,creep
encruzilhada,Crossroads
migalhas,crumbs
triturar,crush
gala,cum
chávena,cup
crespo,curly
encaracolado,curly
freguesa,Customer
corta a lorota/para de conversa fiada,cut to the chase
tábua de corte,cutting board
escuridão,darkness
tâmaras,dates
nora,daughter in law
mortandade,Death
decifrar,decipher
desprezar,Despise
orvalho,dew
fralda,diaper
jeba,dick
digressionar/divagar,digress / ramble
covinhas,dimples
disfarçar,disguise
não se reprima,do not hold back
jumento,donkey
maçaneta,door handle
pavor,dread
embriagado,drunk
narso,drunk
calabouço/masmorra,dungeon
empoeirado,dusty
habitar,dwell
minhocas,earthworms
empregar,employ
acarretar,entail
empreendimentos,enterprises
escolta,escort
carrasco,executioner
colírio,eye drops
tecido,fabric
cercas,fences
balsa,ferry
imundo,filthy
antes de mais nada,first of all
meias arrastão,fishnet stockings
pelancudo,Flabby
achatado,flat
bajulação,flattery
alagar,flood
enchentes,Floods
afobado,flustered
Mané,fool
ficar fuçando,fooling around
preliminares,foreplay
vidente,fortune teller
desvairados,frantic
zero oitocentos,free
frigideira,frying pan
patada,fuck up
combustível,fuel
Velório,Funeral
os cocotas,gatinhas
baza,Get lost
ceder,Give way
retroceder,go back
faz com garra,go hard
conceder,grant
estufa,greenhouse
mantimentos,groceries
o aval,guarantee
goma,gummy
laquê,hairspray
saguão,hall
corrimão,handrail
de ter atrito,having friction
ele é uma testemunha,he is a witness
prestativo,helpful
desamparado,helpless
esconderijo,hiding place
revidar,hit back
embuste,hoax
Kenga,hoe
o lar,hogar
narguilé,hookah
o quão longe estamos dispostos a ir,how far are we willing to go
no entanto,However
eu me agarro em você,I cling to you
não me apetece nada,I don't feel like it
fui pego no flagra,I got caught in the act
eu fiz do zero,I made from scratch
Eu caí matando,I made my move
Como será que,I wonder what
vou do mesmo jeito,I'll go regardelss
Vou tacar o pinto,I'll stick the dick
estou prestes a comer,I'm about to eat
estou estafado,I'm exhausted
se te serve de consolo,if it's any consolation
Se tu tiver a fim mesmo,If you really want to
antecipadamente,in advance
indelicadeza,Indelicacy
unha encravada,ingrown toenail
coito,intercourse
internautas,Internet users
pirarse,irse
ta por fora,is chickenshit
cortesia da casa,It's on the house
está de ponta cabeça,it's upside down
enciumado,Jealous
porta chave,keyholder
parentela,kin
professor de maternal,kindergarten taecher
parentesco,kinship
canhoto,left-handed
meias-calças,leggings
lazer,leisure
erguer,lift
luz acesa,light on
Chinfrudos,Loaded
empréstimo,loan
feche a viatura,Lock the car
culote,love handle
cobiçar,lust
majestoso,majestic
bater uma siririca,masturbate (for women)
medição,measurement
Medicamentos,Medicines
medíocre,mediocre
filiação,membership
mercadoria,merchandise
meio termo,middle ground
infortúnio,misfortune
esfregona,mop
enxaguante bucal,mouthwash
arredar,move away
os meus pêsames,my condolences
Meu pai me dá uma coça,My dad will kill me
minha companhia,my date
minhas feições,my features
meu auge,my peak
estreita,narrow
ninfetinha,nymph
esdrúxulo,odd
coroa,Old
á beira,on the edge
na responsa,on the real
aulas de reforço de matematica online,online math tutoring
abertura,opening/intro
enfeite,ornament
vencido,overdue/stail
chupeta,pacifier
marmita,packed lunch
pacotinhos/papelotes,Packets
amortecedor,padding
penoso,painful
clips,paperclips
papelada,paperwork
O paulo foi se meter justamente com minha mulher,paulo was messing around with my wife
pérolas,Pearls
desempenho,Performance
maloqueiro,Petty thief
telefonema,phone call
picareta,pickaxe
o êmbolo/o pistão,piston
enredo,plot
ameixa,plum
desentupidor,plunger
assinalar,Point out
os pivete,poor kids
prementes,pressing
padre,priest
prosseguir,proceed
fantoche,puppet
jangada,raft
Ferrovia,Railroad
molho rancho,ranch dressing
patifes,rascals
restar,remain
repeteco,replay
resgate,rescue
assemelhar,resemble
desenvoltura,Resourcefulness
o repouso,rest
contenção,retainers
asilo,retirement home
endereço de devolução,return address
costela,rib
Cocota,Rich girl
coronhada,rifle butt
destro,right handed
assoalhadas,Rooms
percurso,route
boato,rumor
boatos,rumors
afobado,rushed
motorhome/autocaravana,RV
amostra,sample
arenoso,sandy
meloso,sappy
espantalhos,scarecrows
canalha,scoundrel
arranhar,scratch
gaivotas,seagulls
mulherada,several women
chacoalhar,Shake
dinheiro a pamparra,Shitload of money
carência,shortage
suspirar,sigh
o espeto,skewer (culinary)
arranha-céus,skyscrapers
marreta,sledgehammer
gosmento,slimy
escorregadio,slippery
vagaroso,slow
Filha de uma égua,Slut
estalar os dedos,snap your fingers
um bagulho responsa,Some serious shit
fura olho,somebody that wants what's yours
ser talarico,somone that hits on your girl
genro,son in law
azedo,sour
palmo,span (length)
escassamente,sparsely
lombada,speed bump
especiaria,spice
temperos,spices
cajado,staff
garanhão,stallion
critérios,standards
cada macaco no seu galho,stay in your lane
íngreme,steep
grudento/pegajoso,sticky
papo reto,straight talk
estrias,stretch marks
Barbantinho,Stringy
cotoco,stump (amputated)
é a maior furada,sucks
subitamente,suddenly
terno,suit
adequado,Suitable
folgado,super at ease
arredores,surroundings
brejo/pântano,swamp
sintonia,synched
cafona,"tacky, old fashion, corny"
mexerica,tangerine
tenro,tender
essa bodega,that thing
o gosto posterior,the aftertaste
a seta,the arrow
a sacada,the balcony
o supino,the bench press
a magrela,The bike
a molecada,The boys
o corcel,The car
o elenco,the cast
a pista,the clue/nightclub
a endolação,The drug transfer
a data de vencimento,the due date
o haltere,the dumbbell
a escolta,The escort
a moldura,the frame
as gengivas,the gums
a alça,the handle
a renda,the income
o logotipo,the logo
a criada,the maid
o movimento,the movement/turf
o paladar,the palate
a praga/peste,the plague
a imprensa,the press
o trapo,The rag
o braço direito,The right hand man
a caixa baixa,The runts
o frete,the shipping
o paladar,the taste
a sanita,The toilet
o túmulo,the tomb
O traço,The trait
porta-mala,the trunk of a car
o matagal,The woods
vinheta/opening,theme song
eles cedem à sua proeza sexual,they give in to his sexual prowess
essa belezura,this beauty
farto,tired
Em menor grau,To a lesser degree
acudir,to aid
enfileirar,to align
pasmar,to amaze
aparentar,to appear to be
agredir,to attack
assar,to bake
pechinchar,to bargain
latir,to bark
estar pelo saco,to be annoying
estar na mão do palhaço,to be drunk
ficar constrangido,to be embarrassed
ser experiente,to be experienced
ser cu doce,to be hard to get
estar na pista,to be single and ready to mingle
assoar,to blow
dar mancada,to blunder
embaçar,to blur
se gabar de,to brag about
escangalhar,to break
roçar,to brush up against
esbarrar com,to bump into
agasalhar,to bundle up
estourar,to burst
entregar,to call out somone
esculpir,to carve
capar,to castrate
colar/trapacear,to cheat (tests)
se engasgar,to choke
arrecadar,To collect
consolar,to comfort
empenhar,to commit
ressarcir,to compensate
compor,to compose
